iso3,sex,diabetes,alcohol,undernutrition,smoking,diabetes.sd,alcohol.sd,undernutrition.sd,smoking.sd,inc.15plus,inc.15plus.sd,pop,adults,inc,inc.lo,inc.hi,inc.sd,hiv,hiv.sd,irr,irr.sd,sex,paf.hiv,paf.hiv.sd,sex,paf.dia,paf.dia.sd,sex,paf.alc,paf.alc.sd,sex,paf.smk,paf.smk.sd,sex,paf.und,paf.und.sd,inc.at.hiv,inc.at.hiv.sd,inc.at.dia,inc.at.dia.sd,inc.at.alc,inc.at.alc.sd,inc.at.smk,inc.at.smk.sd,inc.at.und,inc.at.und.sd,inc.at.hiv.num,inc.at.dia.num,inc.at.alc.num,inc.at.smk.num,inc.at.und.num,inc.at.hiv.lo.num,inc.at.hiv.hi.num,inc.at.dia.lo.num,inc.at.dia.hi.num,inc.at.alc.lo.num,inc.at.alc.hi.num,inc.at.smk.lo.num,inc.at.smk.hi.num,inc.at.und.lo.num,inc.at.und.hi.num
AND,f,0.0580000019073486,0.0220000004768372,,0.295,0.0201530602513527,,,0.0596938814435686,3.35023014624483,0.362404747669388,35877,34326,2.91021358437089,2.54699631621841,3.43955202599822,0.314806796449525,,,,,f,,,f,0.0280432176184175,0.011849561569665,f,0.0485083374797641,0.0154928492099227,f,0.140212132574667,0.0571717162627339,f,,,,,0.0939512330629264,0.0412033884860446,0.162514094568924,0.0550877245965724,0.469742913420926,0.199244239664751,,,,0,0,0,,,,0,0,0,0,0,0,,
AND,m,0.0810000038146973,0.0980000019073486,,0.380999984741211,0.024234693877551,,,0.0714285714285714,3,0.385996815455486,33878,32228,3.04627691981669,2.54699631621841,3.43955202599822,0.329525187902292,,,,,m,,,m,0.0387059247218216,0.0146845835192468,m,0.182756091622191,0.0507305712594521,m,0.173068767017317,0.0670233667448816,m,,,,,0.116117774165465,0.0468623081425248,0.548268274866572,0.168884928318474,0.51920630105195,0.213450831079268,,,,0,0,0,,,,0,0,0,0,0,0,,
ARE,a,0.151000003814697,0.00699999988079071,0.0309999990463257,0.146999998092651,0.0270408172996677,,,0.0395408163265306,0.885326417644356,0.0709122909147075,9890400,8425228,0.790665696028472,0.676513157076748,0.913586762351586,0.0605101297980974,5.50028310280676e-05,4.79426084998028e-06,,,a,,,a,0.0697781555393973,0.0199598383038343,a,0.0160199944909792,0.00527317129991395,a,0.075978013510677,0.035742843000232,a,0.0638436675764171,0.00138612186984833,,,0.0617764444735253,0.018405178261094,0.014182924333381,0.00481923646400475,0.0672653425211422,0.0321993843086175,0.0504789978613182,0.00401651432540308,,5,1,5,4,,,2,9,0,2,1,13,4,5
ARE,f,0.153999996185303,0.00200000002980232,,0.005,0.0346938785241575,,,0.00255102040816327,1.02988303748725,0.109843822862378,2580630,2336337,0.787856471995342,0.676513157076748,0.913586762351586,0.0795442575423275,,,,,f,,,f,0.0709693670444777,0.0223177580423009,f,0.00463599721669878,0.00154172385980487,f,0.00283843888152274,0.00194993698747029,f,,,,,0.0730901473003143,0.0243941750472295,0.00477453489531617,0.00167603512678813,0.00292326005702455,0.00204352197579863,,,,1,0,0,,,,0,3,0,0,0,0,,
ARE,m,0.15,0.00800000011920929,,0.29,0.0344387755102041,,,0.076530612244898,0,0.0885099756108494,6343736,6088891,0.791920680738528,0.676513157076748,0.913586762351586,0.0799545917573338,,,,,m,,,m,0.0692572041218168,0.0220172729229546,m,0.0182622525923386,0.00599899540194155,m,0.137721895008268,0.0604478220178804,m,,,,,0,0.0064322584810072,0,0.00170136760251673,0,0.0133122238693804,,,,0,0,0,,,,0,0,0,0,0,0,,
ARG,a,0.0969999980926514,0.0680000019073486,0.0379999995231628,0.211000003814697,0.0201530602513527,,,0.0318877551020408,40.3416496735817,3.14472005559685,45195777,34152047,31.0937217436021,26.3708047552272,36.1998150394027,2.50887806324748,0.00308491211468718,0.000143864181878555,20.6107063440432,5.54074980640452,a,0.0567945332648828,0.0154205260919541,a,0.0460460774065068,0.0143156454194775,a,0.134969511332371,0.0395075068866991,a,0.105378853870661,0.0423655128129017,a,0.0771472847920251,0.00165116668814364,1.76595341389602,0.501700001966433,1.85757472357592,0.597092880763215,5.44489274278502,1.6540187737418,4.25115680585377,1.74601591250851,2.39879620659765,0.200289453188743,798,634,1859,1451,1084,417,1300,220,1262,695,3585,339,3357,913,1268
ARG,f,0.095,0.03,,0.153000001907349,0.0267857142857143,,,0.0244897968915044,32.8122929022801,3.57422550588478,19559902,17726677,25.1290530318694,26.3708047552272,36.1998150394027,2.73729429859495,,,,,f,,,f,0.0450722723952645,0.016396302352871,f,0.0648883311598881,0.0204011790192082,f,0.079059531511158,0.0328792346062606,f,,,,,1.47892460360477,0.564651618519002,2.1291349279584,0.712190685846269,2.59412450466116,1.12141087378308,,,,262,377,459,,,,92,518,155,695,135,978,,
ARG,m,0.0989999961853027,0.108000001907349,,0.27,0.0288265286659708,,,0.0390306102986238,48,5.27954133928233,18328796,16425370,36.1055706103803,26.3708047552272,36.1998150394027,3.93296048418419,,,,,m,,,m,0.0468584772583573,0.0173460765916272,m,0.197447114439761,0.0538799753748604,m,0.130438103348307,0.0508276213124952,m,,,,,2.24920690840115,0.873402207717845,9.47746149310852,2.80289320692862,6.26102896071875,2.54921858597778,,,,369,1556,1028,,,,125,742,718,2713,326,2126,,
ARM,a,0.115,0.0569999980926514,0.0259999990463257,0.267000007629395,0.0237244878496443,,,0.0272959203136211,26.9467957482587,3.66333035093168,2963234,2345922,23.1087915156159,17.5943623655521,29.3632400482545,3.00677115968872,0.00161006521928407,0.000112647485386232,74.9136859408749,18.4084788543932,a,0.105673211041729,0.0246367620849005,a,0.0540868636817896,0.0166287978045402,a,0.115886402098878,0.0346129888634981,a,0.1293621675138,0.0489006084481955,a,0.0541036923919988,0.00118687132506712,2.441980202749,0.6561820757925,1.45746766829709,0.493717241097962,3.12276720735904,1.03259389381832,3.48589590554638,1.41175090477126,1.25027094771172,0.165011902853913,72,34,73,81,37,39,115,11,68,26,144,21,181,28,47
ARM,f,0.12,0.0220000004768372,,0.0160000002384186,0.0334183683200758,,,0.00229591830652587,12.2507906471963,2.10230314827137,1376693,1279589,10.3136567011902,17.5943623655521,29.3632400482545,1.66124461412213,,,,,f,,,f,0.0561880723073591,0.0200693063317498,f,0.0485083374797641,0.0154928492099227,f,0.00902218889242998,0.00393951830999187,f,,,,,0.688348310706984,0.276012761104699,0.594265487108136,0.217909430064778,0.11052894730062,0.0525128099606996,,,,8,7,1,,,,3,17,2,14,0,3,,
