iso3,scenario,hiv,measure,date,best,lo,hi
AGO,Disruption,pos,inc,2020-11-01,29.20067192312,24.3647938144898,34.940306973484
AGO,Disruption,pos,inc,2020-12-01,29.2862256293196,24.3467189132151,35.058573371611
AGO,Disruption,pos,inc,2021-01-01,29.3791694662891,24.3342406103757,35.1837997240392
AGO,Disruption,pos,inc,2021-02-01,29.4849333753172,24.3303112485156,35.3212919928752
AGO,Disruption,pos,inc,2021-03-01,29.6089846161075,24.3381530150022,35.4813370720732
AGO,Disruption,pos,inc,2021-04-01,29.7501310950129,24.3574798492842,35.6608281491423
AGO,Disruption,pos,inc,2021-05-01,29.8957309091631,24.3815842129568,35.845520491685
AGO,Disruption,pos,inc,2021-06-01,30.0217101897801,24.4031960543917,36.023693118455
AGO,Disruption,pos,inc,2021-07-01,30.1288446279333,24.4208782408165,36.1936474838596
AGO,Disruption,pos,inc,2021-08-01,30.2298169206436,24.434164559103,36.3550665810668
AGO,Disruption,pos,inc,2021-09-01,30.3244836100161,24.4428871306795,36.5079305785241
AGO,Disruption,pos,inc,2021-10-01,30.4128934544764,24.4470840337837,36.6524217993893
AGO,Disruption,pos,inc,2021-11-01,30.4990150552778,24.4469303904261,36.7888560162356
AGO,Disruption,pos,inc,2021-12-01,30.5840237305443,24.4426889032448,36.917638311554
AGO,Disruption,pos,inc,2022-01-01,30.6632764203563,24.4346726288029,37.0392137536503
AGO,Disruption,pos,inc,2022-02-01,30.7371504898599,24.4232186259928,37.1540569700215
AGO,Disruption,pos,inc,2022-03-01,30.8060340792109,24.4086698237598,37.2626368047756
AGO,Disruption,pos,inc,2022-04-01,30.8703084948733,24.3913622089032,37.3654159003905
AGO,Disruption,pos,inc,2022-05-01,30.9303448419266,24.3716163629772,37.4628337981983
AGO,Disruption,pos,inc,2022-06-01,30.9864932433417,24.3497322600409,37.555307119333
AGO,Disruption,pos,inc,2022-07-01,31.0477530143296,24.3259869215462,37.643219846925
AGO,Disruption,pos,inc,2022-08-01,31.1085986320674,24.3006328399317,37.726928167216
AGO,Disruption,pos,inc,2022-09-01,31.1665811358244,24.273897027731,37.8067576964276
AGO,Disruption,pos,inc,2022-10-01,31.2219551716572,24.2459847313336,37.883003880471
AGO,Disruption,pos,inc,2022-11-01,31.2749515255407,24.2170765947853,37.9559319261649
AGO,Disruption,pos,inc,2022-12-01,31.3257740194375,24.1873326583988,38.025782810142
AGO,Disruption,pos,inc,2023-01-01,31.37460605437,24.1568949725253,38.0927731287713
AGO,Disruption,pos,inc,2023-02-01,31.4216113600649,24.1258860758276,38.1570906237586
AGO,Disruption,pos,inc,2023-03-01,31.4669330221371,24.0944137645138,38.2189078559238
AGO,Disruption,pos,inc,2023-04-01,31.5106994397935,24.0625711834899,38.2783774301902
AGO,Disruption,pos,inc,2023-05-01,31.5530227320565,24.0304390268042,38.3356302562639
AGO,Disruption,pos,inc,2023-06-01,31.5940013154006,23.998085685879,38.390785934288
