iso3,year,hiv,tb,ill_def,tb_seq,total,prop.tb,tb.imp,garbage,garbage.imp,totaltb,seq.prop,tb.prop,codqual,min.coverage,max.coverage,min.usability,max.usability,use.ghe,keep.vr,vr.coverage,tb.adj,tb.adj.sd,pop
ARG,2018,1330,605,21759,19,334919,0.00180640692227076,605,0.0649679474738668,0.0649679474738668,624,0.0304487179487179,0.00199259164644271,medium,100,100,66,72,yes,TRUE,100,624,0.101415885878699,44361150
ARM,2000,,157,833,,24025,0.00653485952133195,157,0.0346722164412071,0.0346722164412071,157,,0.00676957571576406,high,100,100,81,95,yes,TRUE,100,157,0.0136135650779283,3069597
ARM,2001,,145,753,,24003,0.00604091155272258,145,0.0313710786151731,0.0313710786151731,145,,0.00623655913978495,high,100,100,81,95,yes,TRUE,100,145,0.0113755846416028,3050686
ARM,2002,1,167,779,,25554,0.00653518040228536,167,0.0304844642717383,0.0304844642717383,167,,0.00674066599394551,high,100,100,81,95,yes,TRUE,100,167,0.0127311448547577,3033976
ARM,2003,,155,673,,26014,0.00595833012993004,155,0.0258706850157607,0.0258706850157607,155,,0.00611656998539916,high,100,100,81,95,yes,TRUE,100,155,0.0100274846225692,3017938
ARM,2006,11,175,900,5,27202,0.00643335048893464,175,0.033085802514521,0.033085802514521,180,0.0277777777777778,0.00684358603908448,high,100,100,81,95,yes,TRUE,100,180,0.01489353877836,2958301
ARM,2007,6,179,815,4,26830,0.00667163622810287,179,0.0303764442787924,0.0303764442787924,183,0.0218579234972678,0.0070344032289064,high,100,100,81,95,yes,TRUE,100,183,0.0139014460225548,2932615
ARM,2008,13,172,761,1,27412,0.00627462425215234,172,0.0277615642784182,0.0277615642784182,173,0.00578034682080925,0.00649131364676748,high,100,100,81,95,yes,TRUE,100,173,0.0120102107728036,2907615
ARM,2009,13,147,793,1,27560,0.00533381712626996,147,0.0287735849056604,0.0287735849056604,148,0.00675675675675676,0.00552919639855045,high,100,100,81,95,yes,TRUE,100,148,0.010649290597768,2888094
ARM,2010,10,156,808,2,27921,0.00558719243580101,156,0.0289387915905591,0.0289387915905591,158,0.0126582278481013,0.00582746284070372,high,100,100,81,95,yes,TRUE,100,158,0.0114341315777753,2877314
ARM,2011,9,116,910,1,27963,0.00414833887637235,116,0.0325430032543003,0.0325430032543003,117,0.00854700854700855,0.00432484382508409,high,100,100,81,95,yes,TRUE,100,117,0.00952192717295364,2876536
ARM,2012,22,126,774,7,27600,0.00456521739130435,126,0.0280434782608696,0.0280434782608696,133,0.0526315789473684,0.00495787668679639,high,100,100,81,95,yes,TRUE,100,133,0.00932707215719103,2884239
ARM,2013,15,99,709,3,27196,0.00364024121194293,99,0.0260700102956317,0.0260700102956317,102,0.0294117647058824,0.00385094574697021,high,100,100,81,95,yes,TRUE,100,102,0.00664958617318412,2897593
ARM,2014,30,75,728,3,27714,0.00270621346611821,75,0.0262683120444541,0.0262683120444541,78,0.0384615384615385,0.00289038760838954,high,100,100,81,95,yes,TRUE,100,78,0.00512366674943765,2912403
ARM,2015,33,64,559,2,27878,0.00229571705287323,64,0.0200516536336897,0.0200516536336897,66,0.0303030303030303,0.00241590102126725,high,100,100,81,95,yes,TRUE,100,66,0.00330918639615208,2925559
ARM,2016,29,55,548,,28226,0.0019485580670304,55,0.0194147240133211,0.0194147240133211,55,,0.00198713779897391,high,100,100,81,95,yes,TRUE,100,55,0.00267004293329848,2936147
ARM,2017,39,42,194,2,27125,0.00154838709677419,42,0.00715207373271889,0.00715207373271889,44,0.0454545454545455,0.00163380490884111,high,100,100,81,95,yes,TRUE,100,44,0.000786784381998196,2944789
ARM,2018,30,29,399,,25751,0.00112616985748126,29,0.0154945439012077,0.0154945439012077,29,,0.0011438939728621,high,100,100,81,95,yes,TRUE,100,29,0.00112352851845665,2951741
ATG,2000,9,,,,404,,1,,0.0411255411255411,1,,,high,100,100,71,84,yes,TRUE,100,1,0.2,76007
ATG,2001,14,,19,,462,,1,0.0411255411255411,0.0411255411255411,1,,0.00225733634311512,high,100,100,71,84,yes,TRUE,100,1,0.000102856152963349,77212
ATG,2002,9,,22,,444,,1,0.0495495495495496,0.0495495495495496,1,,0.0023696682464455,high,100,100,71,84,yes,TRUE,100,1,0.000123935283248444,78298
ATG,2003,5,,7,,451,,1,0.0155210643015521,0.0155210643015521,1,,0.00225225225225225,high,100,100,71,84,yes,TRUE,100,1,3.88086842746938e-05,79311
ATG,2004,5,,19,,510,,1,0.0372549019607843,0.0372549019607843,1,,0.00203665987780041,high,100,100,71,84,yes,TRUE,100,1,9.31719660265395e-05,80347
ATG,2005,8,,21,,489,,1,0.0429447852760736,0.0429447852760736,1,,0.00213675213675214,high,100,100,71,84,yes,TRUE,100,1,0.000107408089363548,81462
ATG,2006,19,1,20,,473,0.00211416490486258,1,0.0422832980972516,0.0422832980972516,1,,0.0022075055187638,high,100,100,71,84,yes,TRUE,100,1,0.00010575296108295,82715
ATG,2007,10,1,13,,479,0.00208768267223382,1,0.0271398747390397,0.0271398747390397,1,,0.00214592274678112,high,100,100,71,84,yes,TRUE,100,1,6.7868106166602e-05,84029
ATG,2008,13,,11,,528,,1,0.0208333333333333,0.0208333333333333,1,,0.00193423597678917,high,100,100,71,84,yes,TRUE,100,1,5.20941862888202e-05,85394
ATG,2009,6,,4,,371,,1,0.0107816711590297,0.0107816711590297,1,,0.00272479564032698,high,100,100,71,84,yes,TRUE,100,1,2.69570843217659e-05,86743
ATG,2012,13,,4,,492,,1,0.00813008130081301,0.00813008130081301,1,,0.00204918032786885,high,100,100,71,84,yes,TRUE,100,1,2.03268558419678e-05,90407
ATG,2013,6,,6,,470,,1,0.0127659574468085,0.0127659574468085,1,,0.0021551724137931,high,100,100,71,84,yes,TRUE,100,1,3.19189683789523e-05,91510
ATG,2014,10,,1,,579,,1,0.00172711571675302,0.00172711571675302,1,,0.00173010380622837,high,100,100,71,84,yes,TRUE,100,1,4.31786386639876e-06,92562
ATG,2015,1,,3,,526,,1,0.00570342205323194,0.00570342205323194,1,,0.00191204588910134,high,100,100,71,84,yes,TRUE,100,1,1.42593684050452e-05,93571
ATG,2016,6,,3,,542,,1,0.00553505535055351,0.00553505535055351,1,,0.00185528756957328,high,100,100,71,84,yes,TRUE,100,1,1.38384043397166e-05,94520
ATG,2017,8,,9,,563,,1,0.0159857904085258,0.0159857904085258,1,,0.00180505415162455,high,100,100,71,84,yes,TRUE,100,1,3.9970865680139e-05,95425
AUS,2000,134,35,641,19,128771,0.000271800327713538,35,0.00497782885898222,0.00497782885898222,54,0.351851851851852,0.000421446967923203,high,100,100,90,92,yes,TRUE,100,54,0.000672040348983161,18991434
AUS,2001,120,44,527,42,128633,0.000342058414248288,44,0.00409692691611017,0.00409692691611017,86,0.488372093023256,0.000671319063900208,high,100,100,90,92,yes,TRUE,100,86,0.000880875375785184,19194676
AUS,2002,111,35,729,32,132982,0.000263193514911793,35,0.00548194492487705,0.00548194492487705,67,0.477611940298507,0.000506604765109298,high,100,100,90,92,yes,TRUE,100,67,0.000918276114307892,19401366
AUS,2003,110,44,884,9,131776,0.000333899951432734,44,0.00670835356969403,0.00670835356969403,53,0.169811320754717,0.000404913974880054,high,100,100,90,92,yes,TRUE,100,53,0.000888916479646063,19624163
AUS,2004,107,34,957,29,132307,0.000256978088838837,34,0.00723317738290491,0.00723317738290491,63,0.46031746031746,0.000479634564141606,high,100,100,90,92,yes,TRUE,100,63,0.00113930784596639,19879654
AUS,2006,101,50,913,8,133733,0.000373879296807819,50,0.00682703595971077,0.00682703595971077,58,0.137931034482759,0.000436681222707424,high,100,100,90,92,yes,TRUE,100,58,0.000989987800979919,20526300
AUS,2007,87,37,1015,15,137843,0.000268421319907431,37,0.00736344972178493,0.00736344972178493,52,0.288461538461538,0.000380039173268629,high,100,100,90,92,yes,TRUE,100,52,0.000957318955532749,20916339
AUS,2008,67,51,851,13,143932,0.00035433399105133,51,0.0059125142428369,0.0059125142428369,64,0.203125,0.000447299082337976,high,100,100,90,92,yes,TRUE,100,64,0.000946058214680079,21332293
AUS,2009,79,44,732,13,140749,0.000312613233486561,44,0.00520074742982188,0.00520074742982188,57,0.228070175438597,0.000407093424369898,high,100,100,90,92,yes,TRUE,100,57,0.000741145053832271,21750852
AUS,2010,71,51,842,4,143459,0.000355502268940952,51,0.00586927275388787,0.00586927275388787,55,0.0727272727272727,0.000385648274749855,high,100,100,90,92,yes,TRUE,100,55,0.000807072372937256,22154687
AUS,2011,91,40,1008,15,146928,0.000272242186649243,40,0.00686050310356093,0.00686050310356093,55,0.272727272727273,0.000376918859649123,high,100,100,90,92,yes,TRUE,100,55,0.000943383897619721,22538002
AUS,2012,75,30,1336,5,147095,0.000203949828342228,30,0.00908256568884054,0.00908256568884054,35,0.142857142857143,0.000240122393814447,high,100,100,90,92,yes,TRUE,100,35,0.000794796685704424,22903951
AUS,2013,62,50,1377,1,147660,0.000338615738859542,50,0.00932547744819179,0.00932547744819179,51,0.0196078431372549,0.000348639281392917,high,100,100,90,92,yes,TRUE,100,51,0.00118910926476273,23254912
AUS,2014,56,43,1526,3,153546,0.000280046370468785,43,0.00993838979849687,0.00993838979849687,46,0.0652173913043478,0.000302591764241547,high,100,100,90,92,yes,TRUE,100,46,0.00114302842544645,23596426
AUS,2015,45,48,1304,3,159050,0.000301791889342974,48,0.00819867966048413,0.00819867966048413,51,0.0588235294117647,0.000323304552888821,high,100,100,90,92,yes,TRUE,100,51,0.00104541736713337,23932499
AUS,2016,58,46,1256,3,158500,0.000290220820189274,46,0.00792429022082019,0.00792429022082019,49,0.0612244897959184,0.000311617613390654,high,100,100,90,92,yes,TRUE,100,49,0.000970802481255473,24262710
AUS,2017,56,47,1419,2,160904,0.000292099637050664,47,0.00881892308457217,0.00881892308457217,49,0.0408163265306122,0.00030723892529078,high,100,100,90,92,yes,TRUE,100,49,0.00108041335868436,24584619
AUS,2018,29,49,2019,4,158492,0.000309163869469752,49,0.0127388133154986,0.0127388133154986,53,0.0754716981132076,0.000338716583691755,high,100,100,90,92,yes,TRUE,100,53,0.0016881078092052,24898153
AUT,2000,50,71,880,3,76780,0.00092471997916124,71,0.0114613180515759,0.0114613180515759,74,0.0405405405405405,0.000974967061923584,high,100,100,84,90,yes,TRUE,100,74,0.00212058688674777,8069276
AUT,2001,50,55,954,1,74767,0.000735618655289098,55,0.0127596399481054,0.0127596399481054,56,0.0178571428571429,0.000758673946323818,high,100,100,84,90,yes,TRUE,100,56,0.00178657755359879,8097755
AUT,2002,51,66,860,,76131,0.000866926744690074,66,0.0112963181883858,0.0112963181883858,66,,0.000876831714737415,high,100,100,84,90,yes,TRUE,100,66,0.00186410307609808,8134403
AUT,2003,49,45,662,,77209,0.000582833607480993,45,0.00857412995894261,0.00857412995894261,45,,0.000587874116555842,high,100,100,84,90,yes,TRUE,100,45,0.000964672332640082,8175855
AUT,2004,54,41,624,4,74292,0.000551876379690949,41,0.00839928929090615,0.00839928929090615,45,0.0888888888888889,0.000610848672422219,high,100,100,84,90,yes,TRUE,100,45,0.000944999418462378,8216810
AUT,2005,71,52,680,2,75189,0.000691590525209805,52,0.00904387609889745,0.00904387609889745,54,0.037037037037037,0.000724744661718719,high,100,100,84,90,yes,TRUE,100,54,0.0012210337021259,8253656
AUT,2006,43,47,830,9,74295,0.000632613231038428,47,0.011171680463019,0.011171680463019,56,0.160714285714286,0.000762267746545974,high,100,100,84,90,yes,TRUE,100,56,0.00156421001336637,8285345
AUT,2007,62,43,769,4,74625,0.000576214405360134,43,0.0103048576214405,0.0103048576214405,47,0.0851063829787234,0.000636373483535529,high,100,100,84,90,yes,TRUE,100,47,0.00121094555673429,8313731
AUT,2008,46,44,707,5,75083,0.00058601813992515,44,0.00941624602107001,0.00941624602107001,49,0.102040816326531,0.000658814671399376,high,100,100,84,90,yes,TRUE,100,49,0.00115359876327859,8341525
AUT,2009,39,41,1876,6,77381,0.000529845827787183,41,0.0242436773885062,0.0242436773885062,47,0.127659574468085,0.00062247533275942,high,100,100,84,90,yes,TRUE,100,47,0.00284932287379508,8372658
AUT,2010,44,33,1929,5,77199,0.000427466677029495,33,0.0249873703027241,0.0249873703027241,38,0.131578947368421,0.000504849209512422,high,100,100,84,90,yes,TRUE,100,38,0.00237439347724955,8409945
AUT,2011,42,41,2012,13,76479,0.000536094875717517,41,0.0263078753644791,0.0263078753644791,54,0.240740740740741,0.000725153423664173,high,100,100,84,90,yes,TRUE,100,54,0.0035524977608894,8453501
AUT,2012,38,25,2072,16,79436,0.000314718767309532,25,0.026083891434614,0.026083891434614,41,0.390243902439024,0.000529962256346621,high,100,100,84,90,yes,TRUE,100,41,0.00267429643262607,8502230
AUT,2013,51,54,1988,12,79526,0.000679023212534266,54,0.0249981138244096,0.0249981138244096,66,0.181818181818182,0.000851195542830612,high,100,100,84,90,yes,TRUE,100,66,0.00412572013324408,8556191
AUT,2014,42,48,2020,21,78252,0.000613402852323263,48,0.0258140367019373,0.0258140367019373,69,0.304347826086957,0.000905131703221744,high,100,100,84,90,yes,TRUE,100,69,0.00445407110663465,8615205
AUT,2015,41,46,2369,16,83073,0.000553729852057829,46,0.0285170873809782,0.0285170873809782,62,0.258064516129032,0.000768239492466297,high,100,100,84,90,yes,TRUE,100,62,0.00442140940123192,8678667
AUT,2016,35,31,2378,6,80669,0.0003842864049387,31,0.0294784861594913,0.0294784861594913,37,0.162162162162162,0.00047259582838385,high,100,100,84,90,yes,TRUE,100,37,0.00272756401433277,8747306
AUT,2017,25,25,2612,9,83270,0.000300228173411793,25,0.0313678395580641,0.0313678395580641,34,0.264705882352941,0.000421532891963599,high,100,100,84,90,yes,TRUE,100,34,0.0026671029750176,8819902
AUT,2018,30,31,2635,15,83975,0.000369157487347425,31,0.0313783864245311,0.0313783864245311,46,0.326086956521739,0.000565527415785591,high,100,100,84,90,yes,TRUE,100,46,0.00360964708783385,8891383
AUT,2019,38,27,2695,12,83386,0.000323795361331638,27,0.0323195740292135,0.0323195740292135,39,0.307692307692308,0.000483325277912035,high,100,100,84,90,yes,TRUE,100,39,0.00315217723810562,8955108
