iso3,year,pop,c.newinc
AUS,1988,16452258,954
AUS,1989,16713989,952
AUS,1990,16960600,1016
AUS,1991,17189235,950
AUS,1992,17402179,1011
AUS,1993,17603211,991
AUS,1994,17798526,1057
AUS,1995,17993083,1073
AUS,1996,18189274,
AUS,1997,18387205,1145
AUS,1998,18587027,899
AUS,1999,18788187,1073
AUS,2000,18991434,1043
AUS,2001,19194676,980
AUS,2002,19401366,1013
AUS,2003,19624163,949
AUS,2004,19879654,1071
AUS,2005,20178543,1046
AUS,2006,20526300,1163
AUS,2007,20916339,1120
AUS,2008,21332293,1215
AUS,2009,21750852,1294
AUS,2010,22154687,1257
AUS,2011,22538002,1239
AUS,2012,22903951,1305
AUS,2013,23254912,1250
AUS,2014,23596426,1330
AUS,2015,23932499,1254
AUS,2016,24262710,1376
AUS,2017,24584619,1434
AUS,2018,24898153,1438
AUS,2019,25203200,1502
AUS,2020,25499881,1611
AUT,1980,7609750,2191
AUT,1981,7604512,2061
AUT,1982,7602177,1942
AUT,1983,7603100,1825
AUT,1984,7607296,1765
AUT,1985,7614874,1442
AUT,1986,7625395,1377
AUT,1987,7639351,1390
AUT,1988,7658856,1402
AUT,1989,7686564,1334
AUT,1990,7723954,1521
AUT,1991,7772698,1426
AUT,1992,7830938,1354
AUT,1993,7892089,1267
AUT,1994,7947215,1264
AUT,1995,7990113,1481
AUT,1996,8017852,1290
AUT,1997,8032873,1394
AUT,1998,8041054,1302
AUT,1999,8051116,1085
AUT,2000,8069276,1185
AUT,2001,8097755,1013
AUT,2002,8134403,1044
AUT,2003,8175855,946
AUT,2004,8216810,895
AUT,2005,8253656,928
AUT,2006,8285345,855
AUT,2007,8313731,811
AUT,2008,8341525,
AUT,2009,8372658,663
AUT,2010,8409945,662
AUT,2011,8453501,673
AUT,2012,8502230,620
AUT,2013,8556191,624
AUT,2014,8615205,564
AUT,2015,8678667,564
AUT,2016,8747306,619
AUT,2017,8819902,562
AUT,2018,8891383,470
AUT,2019,8955108,464
AUT,2020,9006400,382
AZE,1980,6150735,3080
AZE,1981,6249312,3180
AZE,1982,6349555,3217
AZE,1983,6452067,3176
AZE,1984,6557581,3506
AZE,1985,6666447,3772
AZE,1986,6778631,3804
AZE,1987,6893486,3677
AZE,1988,7010027,3340
AZE,1989,7126877,2989
AZE,1990,7242758,2620
AZE,1991,7357945,2771
AZE,1992,7471924,2821
AZE,1993,7581754,3036
AZE,1994,7683704,2839
AZE,1995,7775418,1630
AZE,1996,7855558,2480
AZE,1997,7925668,4635
AZE,1998,7989903,4672
AZE,1999,8054126,4654
AZE,2000,8122743,5187
AZE,2001,8197295,4898
AZE,2002,8277065,5142
AZE,2003,8361433,3845
AZE,2004,8448938,5404
AZE,2005,8538610,6034
