country,iso3,g.whoregion,row.rank.new,year.new,source.new,all.areas.covered.new,area.desc.new,surv.quality.new,dst.rlt.new,mdr.new,mdr.new.pcnt,mdr.new.pcnt.lo,mdr.new.pcnt.hi,dr.r.nh.new,dr.r.nh.new.pcnt,dr.r.nh.new.pcnt.lo,dr.r.nh.new.pcnt.hi,xpert.new,xpert.dr.r.new,xpert.dr.r.new.pcnt,xpert.dr.r.new.pcnt.lo,xpert.dr.r.new.pcnt.hi,r.rlt.new,rr.new,rr.new.pcnt,rr.new.pcnt.lo,rr.new.pcnt.hi,dst.rlt.hr.new,dst.rlt.hr.new.pcnt,dst.rlt.hr.new.pcnt.lo,dst.rlt.hr.new.pcnt.hi,dst.rlt.rr.new,dst.rlt.rr.new.pcnt,dst.rlt.rr.new.pcnt.lo,dst.rlt.rr.new.pcnt.hi
Qatar,QAT,EMR,2,2018,Surveillance,1,,A,335,3,,,,,,,,,,,,,335,3,,,,16,,,,3,,,
Qatar,QAT,EMR,3,2017,Surveillance,1,,A,42,5,,,,,,,,,,,,,335,5,,,,25,,,,5,,,
Qatar,QAT,EMR,4,2014,Surveillance,1,,A,150,2,,,,0,,,,0,0,,,,,,,,,,,,,,,,
Qatar,QAT,EMR,5,2010,Surveillance,1,,A,324,4,,,,0,,,,,,,,,,,,,,,,,,,,,
Qatar,QAT,EMR,6,2009,Surveillance,1,,A,322,3,,,,0,,,,,,,,,,,,,,,,,,,,,
Qatar,QAT,EMR,7,2006,pre-2010 TME data collection,1,,A,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,QAT,EMR,8,2001,Surveillance,1,,A,284,1,,,,2,,,,,,,,,,,,,,,,,,,,,
Qatar,QAT,EMR,9,2000,Surveillance,1,,A,279,2,,,,1,,,,,,,,,,,,,,,,,,,,,
Romania,ROU,EUR,1,2020,Surveillance,1,,A,3562,63,,,,,,,,,,,,,3589,83,,,,159,,,,83,,,
Romania,ROU,EUR,2,2019,Surveillance,1,,A,5764,113,,,,,,,,,,,,,5890,156,,,,303,,,,155,,,
Romania,ROU,EUR,3,2018,Surveillance,1,,A,5942,117,,,,,,,,,,,,,6062,168,,,,313,,,,165,,,
Romania,ROU,EUR,4,2017,Surveillance,1,,A,6048,97,,,,,,,,,,,,,6102,151,,,,248,,,,149,,,
Romania,ROU,EUR,5,2016,Surveillance,1,,A,6074,124,,,,47,,,,,,,,,,,,,,,,,,,,,
Romania,ROU,EUR,6,2015,Surveillance,1,,A,6283,125,,,,32,,,,,,,,,,,,,,,,,,,,,
Romania,ROU,EUR,7,2015,Survey,1,,A,1494,,2.5,1.75,3.34,,0.5,0.17,0.91,,,,,,,,,,,,,,,,,,
Romania,ROU,EUR,8,2004,Survey,1,,A,849,,2.83,1.82,4.18,,2,1.17,1.83,,,,,,,,,,,,,,,,,,
Romania,ROU,EUR,9,1995,Survey,1,,A,1636,,2.75,2.01,3.68,,0.61,0.29,1.12,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1,2020,Surveillance,1,,A,21099,7152,,,,,,,,,,,,,21099,7657,,,,9778,,,,7657,,,
Russian Federation,RUS,EUR,2,2019,Surveillance,1,,A,26189,8585,,,,,,,,,,,,,26189,9246,,,,11556,,,,9246,,,
Russian Federation,RUS,EUR,3,2018,Surveillance,1,,A,27960,8880,,,,,,,,,,,,,27960,9654,,,,11754,,,,9654,,,
Russian Federation,RUS,EUR,4,2017,Surveillance,1,,A,29081,8206,,,,,,,,,,,,,29081,9312,,,,11275,,,,9312,,,
Russian Federation,RUS,EUR,5,2016,Surveillance,1,,A,31039,8463,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1001,2012,Surveillance,0,Arkhangelsk Oblast,A,293,86,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1002,2012,Surveillance,0,Chechnya Republic,A,344,41,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1003,2012,Surveillance,0,Chukotka Autonomous Okrug,A,37,3,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1004,2012,Surveillance,0,Chuvasia Republic,A,478,102,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1005,2012,Surveillance,0,Mary El Republic,A,284,44,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1006,2012,Surveillance,0,Orel Oblast,A,187,22,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1007,2012,Surveillance,0,Yamalo-Nents Autonomous Okrug,A,14,6,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1008,2011,Surveillance,0,Adygea Republic,A,123,3,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1009,2011,Surveillance,0,Arkhangelsk Oblast,A,321,94,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1010,2011,Surveillance,0,Belgorod Oblast,A,308,57,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1011,2011,Surveillance,0,Bryansk Oblast,A,409,54,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1012,2011,Surveillance,0,Chukotka Autonomous Okrug,A,49,3,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1013,2011,Surveillance,0,Chuvasia Republic,A,550,108,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1014,2011,Surveillance,0,Ivanovo Oblast,A,268,48,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1015,2011,Surveillance,0,Kaliningrad Oblast,A,295,67,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1016,2011,Surveillance,0,Kamchatka Krai Oblast,A,90,23,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1017,2011,Surveillance,0,Karelia Republic,A,151,53,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1018,2011,Surveillance,0,Kemerovo Oblast,A,1491,327,,,,,,,,,,,,,,,,,,,,,,,,,
