iso3,cfr,cfr.sd,cfr.lo,cfr.hi
PAK,0.0824294750767582,0.0150831304527501,0.0553392629626844,0.114283618737606
PAN,0.209502562780135,0.0284895897396983,0.156480076594865,0.267943003516172
PER,0.0762824635907721,0.0142721847410374,0.0507206951017463,0.106488946898862
PHL,0.056796809468044,0.013954111267812,0.0326456599596001,0.0870503544389027
PLW,0.0393641720011776,0.0103395137989134,0.0216848564044562,0.0619686450827781
PNG,0.119762846751341,0.0255959538895991,0.0743050717676865,0.174209366392568
POL,0.160743646316684,0.0130558128328647,0.135984049264108,0.187128914179859
PRI,0.17076679360378,0.0183523712098736,0.136324191170214,0.20818209170897
PRK,0.156109634148547,0.032366426531305,0.0981508578190934,0.224493696395055
PRT,0.167304439617524,0.0133821245031714,0.141903452716055,0.194327407931009
PRY,0.105083845414347,0.0104785156656204,0.0854393502722305,0.126476411560657
PSE,0.111789789288332,0.0264442844910388,0.0654309211812609,0.168550827277397
PYF,0.0628350071844114,0.0147035074608412,0.0371994077269443,0.0945532854971196
QAT,0.00835038350088423,0.00116550659666911,0.00622253090787526,0.0107834279632201
ROU,0.0839236271700115,0.00684174712785419,0.0710022202821843,0.097805051444359
RUS,0.138297668481215,0.0276084973674058,0.0887949680108346,0.196606157533699
RWA,0.129574024587976,0.0280373276495663,0.0797798866515437,0.189196871811122
SAU,0.26082863252184,0.0434372665089705,0.180435802003305,0.350173470030017
SDN,0.15965153421524,0.043255878639582,0.0845715261307392,0.25291251833602
SEN,0.158163584919479,0.0415253120597333,0.0857952806183025,0.247474935379801
SGP,0.0111829792596708,0.00115091597098854,0.00904017812419759,0.0135474828440295
SLB,0.124969032241185,0.0306174244272848,0.0714242758296531,0.190763767760344
SLE,0.137622320185857,0.037627050425802,0.072659304889933,0.219102938042874
SLV,0.0420250883099325,0.00683589129171431,0.0296649707972233,0.0563980790097369
SMR,,,,
SOM,0.267688061284309,0.0958518703889078,0.104311936648954,0.474174035363613
SRB,0.0829103737730386,0.00773425350495243,0.0683853571760784,0.0986789340955507
SSD,0.146823503251432,0.0419355280988459,0.0747684571531555,0.237860047614064
STP,0.208262412723931,0.0927844486998274,0.0604561696020285,0.416370334288467
SUR,0.159707222083315,0.0282338497185908,0.108386196583437,0.218722775071746
SVK,0.20014529945173,0.0152728660091237,0.171057559850439,0.230890495940636
SVN,0.167756834299993,0.0130335227622324,0.142993316521857,0.194053441924022
SWE,0.0651158056222934,0.00514354729465447,0.0553983740540712,0.0755493236265044
SWZ,0.245256402578708,0.0704583425421309,0.121717783454387,0.395335541706896
SXM,0.469658245096092,0.109900894744055,0.259763948860045,0.685414593104627
SYC,0.138042757562658,0.0294013444469187,0.0856744974332532,0.20042625355297
