iso3,year,measure,hiv,baseline,sd1,disrupt,sd2,ratio,ratio.sd
BGD,2024,mort,a,23.1348836753367,4.36594289642056,24.3207889617986,4.59829043231415,1.09279110963502,0.281555617464792
BRA,2020,inc,a,46.3805242765203,3.56504809810078,45.2179572930016,3.56639192997483,0.980698662323326,0.107369792949375
BRA,2020,inc,pos,5.22077610883175,0.434562474139273,5.06927252687575,0.415917946887509,0.977143123168312,0.113631305124721
BRA,2020,mort,a,3.17739012597962,0.126388154369189,3.45845074187444,0.141344332727076,1.09061034512795,0.0626631505371431
BRA,2020,mort,pos,0.869783237826128,0.117205812315499,0.937560733006086,0.128132670948349,1.10131758979496,0.208264835867493
BRA,2021,inc,a,46.5176496315581,3.57702842875908,47.9299965251434,3.6659296764796,1.03676067852122,0.111832275711074
BRA,2021,inc,pos,5.30763091056737,0.444587274753739,5.56769610947609,0.463029787323255,1.05698181948409,0.124060511122066
BRA,2021,mort,a,3.19558000079635,0.127761725123708,3.60429166551162,0.151536451702395,1.13043538175084,0.0667770998099964
BRA,2021,mort,pos,0.884006834171798,0.116550380732785,0.99458479514859,0.13728845774156,1.15222304728644,0.218889982582686
BRA,2022,inc,a,46.6192673274677,3.58565588213263,48.1521347829536,3.78171843398746,1.03967724863532,0.113735982176191
BRA,2022,inc,pos,5.38913649360995,0.453076332863837,5.52760306428988,0.467230153834836,1.03340340995068,0.122376397126452
BRA,2022,mort,a,3.21179536115264,0.128761590918571,3.35204706938529,0.137627523843758,1.04558405750836,0.0600605444030346
BRA,2022,mort,pos,0.898944745559497,0.116484948424763,0.929605169082811,0.122647145008447,1.05335640499289,0.191563830251001
BRA,2023,inc,a,46.7168521964323,3.59141251765059,47.8402209492112,3.80098754744864,1.03082532366789,0.113366443851577
BRA,2023,inc,pos,5.46320177287465,0.460623482378096,5.56395059111005,0.47111152229866,1.02601471727173,0.121745030397398
BRA,2023,mort,a,3.22736130694298,0.130250954495417,3.32347025874367,0.136204236114829,1.03161355184969,0.0593089017033239
BRA,2023,mort,pos,0.914169646951679,0.117561250675831,0.932068808024839,0.120460006237996,1.03728295700347,0.185977355285583
BRA,2024,inc,a,46.8350367095954,3.61981107707659,47.7095310858503,3.79918352419911,1.02537485856023,0.113144751248896
BRA,2024,inc,pos,5.53138148567639,0.463472087204274,5.61611282715499,0.472007344591359,1.02271149726972,0.120528604145582
BRA,2024,mort,a,3.24449653523588,0.132120661953944,3.31712653963314,0.136357582363121,1.02419143840248,0.0591988198369364
BRA,2024,mort,pos,0.927476114646628,0.118989852293562,0.940846861633245,0.121256486893345,1.03175513741766,0.184521659338515
CHN,2020,inc,a,57.1068206361765,4.5277691125385,58.5286193992933,4.63919314152029,1.03166095587429,0.114971469689688
CHN,2020,mort,a,2.15564475652521,0.103045641922248,3.83636827578233,0.372030323888711,1.83269331713961,0.310843201099453
