year,inc.num,inc.lo.num,inc.hi.num,pop,inc,inc.lo,inc.hi,inc.sd,inc.h.num,inc.h.lo.num,inc.h.hi.num,inc.h,inc.h.lo,inc.h.hi,inc.h.sd,mort.nh.num,mort.nh.lo.num,mort.nh.hi.num,mort.nh,mort.nh.lo,mort.nh.hi,mort.nh.sd,mort.h.num,mort.h.lo.num,mort.h.hi.num,mort.h,mort.h.lo,mort.h.hi,mort.h.sd,mort.num,mort.lo.num,mort.hi.num,mort,mort.lo,mort.hi,mort.sd,tbhiv,tbhiv.lo,tbhiv.hi,tbhiv.sd,c.newinc,newinc
2010,9341998.60595958,7170836.11472021,11795220.5529072,4267878517,218.890921303128,168.018749506506,276.37198448653,27.6803848743113,1294165.15401423,940244.109552262,1703725.76393065,30.323383124877,22.0307139907343,39.9197342929115,4.57269171809131,1218754.0627793,1145681.00668724,1294053.52424204,28.5564375350588,26.844274084272,30.3207675449878,0.886951939003685,497565.718484276,397758.605102598,608375.620868426,11.6583852258763,9.31982022258199,14.2547548728277,1.26022401877414,1719788.98240926,1593236.96501344,1851106.51540418,40.2961090752447,37.3308883715221,43.3729898363033,1.54157866112444,0.140747267259595,0.0917055665222663,0.198192322529333,0.0272634872447112,4714760,110.470810760427
2011,9300531.18518263,7218582.73611346,11641640.7313938,4321598896,215.210421165903,167.035000466953,269.382721801625,26.1433694394489,1253850.21312185,955320.108375114,1592335.76887138,29.0135721360535,22.1057097469028,36.8459870337624,3.76589217278471,1195402.25295384,1123575.71552393,1269422.07284348,27.6611106611556,25.9990744759744,29.3738984897104,0.861013500995047,480986.231948561,399544.084790598,569869.499922387,11.1298212426367,9.24528384992901,13.1865430743665,1.00616205217886,1679641.02073468,1569285.51060305,1793691.66825358,38.8661942293935,36.3126136499053,41.5052787502745,1.32481884984429,0.136804359800927,0.0933261793266407,0.186999436266766,0.0239668767589011,4763905,110.234779178822
2012,9252683.33516963,7235500.82266986,11513555.1156238,4375486530,211.466388291444,165.364486281937,263.137711353527,24.9731050682551,1197723.24175005,888020.557020637,1553026.26127772,27.3734871205295,20.2953557491728,35.4937959614224,3.88405809195659,1172586.88020458,1100695.48325372,1246719.72118386,26.7990056000602,25.1559563880939,28.4932821215623,0.8514496515396,380292.575290118,294663.316872821,476676.912868472,8.69143517372724,6.73441261565994,10.8942607776345,1.06259459463976,1553096.79035264,1438503.52677671,1672017.51747458,35.4954078753075,32.8764245281932,38.213293676271,1.3616470074273,0.13125135009871,0.0880729076354707,0.181451027468878,0.0238965716326145,4736204,108.244053947528
2013,9152935.25184287,7212249.64772035,11320825.9520463,4429470074,206.637252288227,162.82420983166,255.579691541366,23.6898158711162,1114949.5971246,870579.707871408,1389081.44802309,25.1711734924931,19.6542632262382,31.3599917104462,2.98990118647669,1156811.87830244,1083954.62206572,1232004.65029645,26.1162590327152,24.4714289510226,27.8138158676823,0.852745149192094,352581.790079792,285200.741661669,427000.395942187,7.95990906788982,6.43871020453968,9.63998827870141,0.817422318432629,1509585.79431525,1408761.83690089,1613843.72486473,34.0805055479703,31.8042974298439,36.4342392634648,1.1812538103197,0.12341437373707,0.0867725400129954,0.165402747165756,0.0201094206768663,4687281,105.820355972451
2014,9085648.18139031,7554060.42752844,10756201.7062426,4483449349,202.64861882329,168.487694172642,239.909071542019,18.233013408002,1050153.38203515,829188.212794428,1296817.95691917,23.4228893936178,18.4944257924844,28.924559105556,2.66381242495783,1145856.44830782,1069460.6651865,1224849.68206308,25.5574750401361,23.8535239708917,27.3193603120837,0.884251027430554,313247.215417494,251767.384063003,381341.808794577,6.98674594121067,5.61548407185994,8.50554515307801,0.737994852554097,1462069.70523802,1362553.65371378,1565042.29893598,32.6103763292011,30.3907448852452,34.9071033730993,1.15227964840714,0.116519438367957,0.0857176501001269,0.1512931353758,0.016761256891464,5043015,112.480695273714
2015,8988998.25250635,7607358.75878532,10483979.881698,4537325071,198.112282277479,167.661753119855,231.060806039788,16.1829938791281,949183.890540089,766540.250369081,1151046.94966351,20.9194597188271,16.8941003426969,25.3684038866941,2.16387898542914,1122063.25578035,1044981.10626926,1201848.69737273,24.729620166559,23.0307745184092,26.4880447965755,0.882071354765051,282991.594015453,228278.731968379,343493.299155385,6.23696979139041,5.03113020108272,7.5703921094567,0.648396310885992,1405168.47382277,1309485.80559671,1504176.01921954,30.9690941652784,28.8603039259012,33.1511627596043,1.09474696814945,0.106298542494514,0.0805863985445465,0.135055594599626,0.013917642095665,5155055,113.614407593324
2016,8833550.22209888,7641440.52885575,10110629.3956372,4591072660,192.407109978061,166.441289318557,220.223685060066,13.7263787636045,849814.698001133,712808.590112592,998683.177369669,18.5101557072968,15.5259705716048,21.7527199268867,1.58951259401481,1107653.14295031,1030046.05387925,1188038.1257591,24.1262385716698,22.4358473533558,25.8771362106715,0.877997944795753,246848.06738646,199104.869746028,299644.887388555,5.37669703067735,4.33678324198049,6.52668580044983,0.559188407072235,1354518.7742759,1262457.45114908,1449772.99137371,29.5033181695692,27.4980934662244,31.5780885805827,1.04094788258679,0.0966926948632892,0.0766760785057983,0.11872861814116,0.0107401227389738,5357855,116.701594524535
2017,8759941.65187396,7665385.36573543,9926335.66184286,4644628036,188.603728521996,165.037658695634,213.716482458981,12.4230238825731,787742.518114856,670160.36743982,914686.680678325,16.960292880488,14.4287198510942,19.693432360755,1.34380285860335,1097476.03442228,1019939.7981259,1177811.68086551,23.6289327351053,21.9595582298617,25.3585792389924,0.867215600539716,219751.391848794,180010.58578396,263396.539989636,4.73130227319659,3.875672807138,5.67099319790689,0.458375078787521,1317257.93888944,1229464.61602824,1408035.08523871,28.3608919525851,26.4706798154512,30.3153465535923,0.980903289703842,0.0903156989512308,0.0729844422718109,0.109269626692577,0.00926556109333728,5358816,115.376644985657
2018,8676519.33724727,7625957.59659188,9793756.97243171,4697803239,184.693119226811,162.330289469833,208.475248412415,11.7760895404107,746052.727915291,642281.524062304,857479.460529986,15.8808849574998,13.671954558042,18.2527751143642,1.16915354327293,1065558.55945971,988453.19546715,1145517.82242225,22.6820602151599,21.0407534155806,24.3841166635597,0.853020291328616,191952.872912714,156410.097490046,231080.034065866,4.08601346516961,3.32943057707414,4.91889554137765,0.40583377598969,1257362.94172747,1171877.53293611,1345814.24491898,26.7649128275351,24.94522382733,28.6477354723238,0.94463885849909,0.0863348174521009,0.0706325426082262,0.103430959764233,0.00837432233983786,5901930,125.631698471397
2019,8574980.59387944,7566825.60702918,9645147.60711746,4750366389,180.511983533223,159.28930502184,203.040077696993,11.1648637319442,671042.527267697,586835.164972079,760812.308865526,14.1261214886829,12.3534716465442,16.0158658630473,0.934660115686006,1038779.34647819,962256.286215155,1118187.83112356,21.8673521453755,20.2564646054116,23.5389807765744,0.83749972109673,167282.792217017,136843.743705622,200732.808730081,3.52147136701663,2.88069871878723,4.22562792619323,0.343386420183744,1205725.77148504,1122911.51599962,1291443.77236333,25.3817426436207,23.6384191038368,27.1861929503756,0.905161963467184,0.0785552377546613,0.0652278522442528,0.0929910574057006,0.0070878453011498,6158829,129.649557437537
2020,8517389.04484075,7536475.48864479,9557329.96002473,4802143327,177.366406307613,156.939828227763,199.02217216818,10.73894302605,651019.508419554,565605.083208724,742351.71754609,13.5568529318816,11.7781799645299,15.4587580377334,0.93933553697816,1130549.23788528,1055350.58317342,1208298.49635024,23.5425967302721,21.9766573238188,25.1616499981706,0.812597987108112,168006.979816847,141899.672378634,196286.188258549,3.49858320288421,2.95492372293022,4.08747042502734,0.289093235114622,1298556.21770213,1210420.96215338,1389743.88630567,27.0411799331563,25.2058483000247,28.94007512212,0.952730136262881,0.0767143635106797,0.0635003783307967,0.0910485467054338,0.0070331100841235,4995259,104.021447504788
